task_id	name	status	exit	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	FF_GENDER_WORKFLOW:CALCULATE_YFF (GNCI26030005)	COMPLETED	0	155ms	3280.8%	15.6 MB	20.1 MB	14.9 MB	544 B
4	QC_WORKFLOW:QUALIMAP (GNCI26030005)	COMPLETED	0	17.5s	336.8%	2.1 GB	15.9 GB	505.6 MB	1.1 MB
6	QC_WORKFLOW:QC_FILTER (GNCI26030005)	COMPLETED	0	30ms	135.3%	14.1 MB	18.8 MB	1.1 MB	564 B
5	FF_GENDER_WORKFLOW:CALCULATE_SEQFF (GNCI26030005)	COMPLETED	0	18.5s	210.3%	1.9 GB	19 GB	536.9 MB	474.2 KB
7	FF_GENDER_WORKFLOW:GXFF_ENSEMBLE (GNCI26030005)	COMPLETED	0	24ms	63.8%	14.6 MB	19 MB	900.8 KB	6.1 KB
1	ALIGN_WORKFLOW:SAMTOOLS_SPLIT_FETUS_MOM (GNCI26030005)	COMPLETED	0	22.4s	362.1%	51 MB	1.6 GB	9 GB	6.5 GB
13	HMMCOPY_WORKFLOW:READCOUNTER_10M (GNCI26030005:mom:10mb)	COMPLETED	0	543ms	100.2%	8.1 MB	12.2 MB	77.2 MB	3.1 KB
11	HMMCOPY_WORKFLOW:READCOUNTER_50K (GNCI26030005:mom:50kb)	COMPLETED	0	668ms	101.0%	8 MB	12.2 MB	77.2 MB	175.5 KB
10	HMMCOPY_WORKFLOW:READCOUNTER_50K (GNCI26030005:fetus:50kb)	COMPLETED	0	1.4s	100.2%	8 MB	12.2 MB	169.7 MB	178.7 KB
14	HMMCOPY_WORKFLOW:HMMCOPY_R_10M (GNCI26030005:mom:10mb)	COMPLETED	0	260ms	3331.1%	28 MB	16.9 GB	7.4 MB	28.3 KB
12	HMMCOPY_WORKFLOW:READCOUNTER_10M (GNCI26030005:fetus:10mb)	COMPLETED	0	1.3s	99.4%	7.9 MB	12.2 MB	169.7 MB	3.4 KB
15	HMMCOPY_WORKFLOW:HMMCOPY_R_50K (GNCI26030005:mom:50kb)	COMPLETED	0	918ms	860.2%	40.8 MB	17.1 GB	8.5 MB	6 MB
17	HMMCOPY_WORKFLOW:HMMCOPY_R_10M (GNCI26030005:fetus:10mb)	COMPLETED	0	223ms	4566.4%	29.4 MB	17 GB	7.4 MB	28.6 KB
16	HMMCOPY_WORKFLOW:HMMCOPY_R_50K (GNCI26030005:fetus:50kb)	COMPLETED	0	853ms	1292.7%	28.8 MB	17 GB	8.5 MB	6 MB
8	HMMCOPY_WORKFLOW:READCOUNTER_10M (GNCI26030005:orig:10mb)	COMPLETED	0	3.6s	100.7%	8.1 MB	12.2 MB	473.4 MB	3.4 KB
9	HMMCOPY_WORKFLOW:READCOUNTER_50K (GNCI26030005:orig:50kb)	COMPLETED	0	4s	100.1%	8.2 MB	12.1 MB	503.8 MB	231.9 KB
20	HMMCOPY_WORKFLOW:HMMCOPY_R_10M (GNCI26030005:orig:10mb)	COMPLETED	0	221ms	4652.1%	28.6 MB	16.9 GB	7.4 MB	28.6 KB
21	HMMCOPY_WORKFLOW:HMMCOPY_R_50K (GNCI26030005:orig:50kb)	COMPLETED	0	849ms	1364.0%	37.5 MB	17.1 GB	8.5 MB	6.1 MB
18	EZD_WORKFLOW:RUN_EZD (GNCI26030005:mom)	COMPLETED	0	3.6s	249.1%	289.4 MB	4 GB	234.3 MB	2.9 MB
23	FF_GENDER_WORKFLOW:CALCULATE_YFF2 (GNCI26030005)	COMPLETED	0	420ms	1318.5%	14.5 MB	19.5 MB	21.1 MB	514 B
19	EZD_WORKFLOW:RUN_EZD (GNCI26030005:fetus)	COMPLETED	0	3.7s	242.0%	289.7 MB	4 GB	236.7 MB	2.4 MB
22	EZD_WORKFLOW:RUN_EZD (GNCI26030005:orig)	COMPLETED	0	3.5s	252.2%	290.2 MB	4 GB	244.8 MB	2.5 MB
3	FF_GENDER_WORKFLOW:CALCULATE_FRAGMENT_FF (GNCI26030005)	COMPLETED	0	37.3s	167.2%	449.4 MB	5.6 GB	519.2 MB	513 B
24	FF_GENDER_WORKFLOW:GENDER_DECISION (GNCI26030005)	COMPLETED	0	92ms	3681.5%	14.9 MB	19.8 MB	4.5 MB	605 B
27	PRIZM_WORKFLOW:RUN_PRIZM (GNCI26030005:orig)	COMPLETED	0	3.7s	386.3%	398.4 MB	6.5 GB	217.6 MB	2.2 MB
25	PRIZM_WORKFLOW:RUN_PRIZM (GNCI26030005:mom)	COMPLETED	0	3.7s	383.0%	396.9 MB	6.5 GB	216.4 MB	2.3 MB
26	PRIZM_WORKFLOW:RUN_PRIZM (GNCI26030005:fetus)	COMPLETED	0	3.7s	384.5%	399.9 MB	6.5 GB	216.5 MB	2.3 MB
28	REPORT_WORKFLOW:GENERATE_JSON (GNCI26030005)	COMPLETED	0	277ms	1957.9%	16.9 MB	21.8 MB	15 MB	74.6 KB
29	REPORT_WORKFLOW:GENERATE_HTML (GNCI26030005)	COMPLETED	0	40ms	103.2%	16 MB	20.1 MB	1.8 MB	81.1 KB
30	REPORT_WORKFLOW:COPY_TO_OUTPUT (GNCI26030005)	COMPLETED	0	223ms	30.2%	3.7 MB	7.2 MB	32.4 MB	32 MB
